action-fantasy-case-1	Street-Rap-Auftritt im Musikvideo
general-cinematic-case-13	Cineastische vertikale 9:16-Sequenz
general-cinematic-case-14	Eine riesige Gletscherwand stürzt neben einer Küstenstadt in einen Fjord
general-cinematic-case-15	Mondbeschienene Klavierverfolgung mit einer Maus
general-cinematic-case-16	15-sekündige durchgehende Cartoonsequenz in einer Einstellung
general-cinematic-case-17	Steampunk-Luftschiffschlacht bei Sonnenuntergang
general-cinematic-case-18	Verfolgungsaufnahme von Flip-Flop-Düsenflügeln
general-cinematic-case-19	Außenansicht eines alten Tempels tief in den Bergen
general-cinematic-case-20	Storyboard eines Sonnenaufgangs an der Freiheitsstatue
general-cinematic-case-21	Historische Szene mit dramatischer Beleuchtung
general-cinematic-case-22	Durchgehende Verfolgungsaufnahme beim Raketen-Surfen
general-cinematic-case-23	Vorlage für einen Stand-up-Comedy-Monolog
general-cinematic-case-24	Geburtstagsverrat als Restaurantdrama
general-cinematic-case-25	Historische Parkour-Sequenz mit Kostümwechsel
general-cinematic-case-26	Motorinneres – mechanisches Detail des Kolbens
general-cinematic-case-27	Japanische Romance-Simulation der 90er im Cel-Animationsstil
general-cinematic-case-28	Cineastische Regietechniken – Prompt mit mehreren Einstellungen
general-cinematic-case-29	Porträt einer ostasiatischen Frau mit natürlichem Lächeln
general-cinematic-case-30	Überleben nach der Apokalypse – cineastisches Szenario
general-cinematic-case-31	Pixar-Waldlichtung – 3D-Animationsszene
general-cinematic-case-32	Kätzchen stiehlt Snacks unter der Decke
general-cinematic-case-33	Seedance 2.0 T2V-Test für natürliche Sprache
general-cinematic-case-34	Horroranimation mit Papierpuppen
general-cinematic-case-35	Motorrad-Verfolgungsfahrt durch die rote Wüste
general-cinematic-case-36	DV-Katastrophenaufnahmen aus Pompeji
general-cinematic-case-37	Astronaut im verlassenen Vergnügungspark
general-cinematic-case-38	Badewannenreise der Piratenente
