action-fantasy-case-1	街頭說唱 MV 表演
general-cinematic-case-15	月光下老鼠參與的鋼琴追逐
general-cinematic-case-16	15 秒連續單鏡頭卡通序列
general-cinematic-case-17	日落時的蒸汽龐克飛船大戰
general-cinematic-case-18	夾腳拖噴射翼跟拍
general-cinematic-case-19	深山古寺外景
general-cinematic-case-20	自由女神像日出分鏡
general-cinematic-case-21	戲劇光線下的歷史場景
general-cinematic-case-22	火箭衝浪連續跟拍
general-cinematic-case-23	單口喜劇獨白模板
general-cinematic-case-24	生日背叛餐廳劇情
general-cinematic-case-25	古代跑酷換裝序列
general-cinematic-case-26	引擎內部——活塞機械細節
general-cinematic-case-27	90 年代日式戀愛模擬——賽璐璐動畫風
general-cinematic-case-28	電影導演技巧——多鏡頭提示詞
general-cinematic-case-29	東亞女性肖像——自然微笑
general-cinematic-case-30	末日後求生——電影級設定
general-cinematic-case-31	皮克斯森林空地——3D 動畫場景
general-cinematic-case-32	小貓躲在被窩裡偷吃零食
general-cinematic-case-33	Seedance 2.0 文生影片自然語音測試
general-cinematic-case-34	紙偶恐怖動畫
general-cinematic-case-35	紅色沙漠摩托車追蹤鏡頭
general-cinematic-case-36	龐貝災難 DV 紀錄畫面
